numero,area,precio,estado
2-1,208.07,37213.75,disponible
2-2,200,35770,disponible
2-3,200,35770,disponible
2-4,200,35770,disponible
2-5,200,35770,disponible
2-6,200,35770,disponible
2-7,200,35770,disponible
2-8,200,35770,reservado
2-9,208.07,37213.75,reservado
2-10,200,35770,disponible
2-11,200,35770,disponible
2-12,200,35770,disponible
2-13,200,35770,disponible
2-14,200,35770,vendido
2-15,200,35770,reservado
2-16,200.02,35773.75,reservado
10-1,214.14,38298.94,vendido
10-2,199.95,35761.06,disponible
10-3,199.95,35761.06,disponible
10-4,199.95,35761.06,disponible
10-5,199.95,35761.06,disponible
10-6,199.95,35761.06,disponible
10-7,199.95,35761.06,disponible
10-8,199.95,35761.06,reservado
10-9,199.95,35761.06,reservado
10-10,214.14,38298.94,vendido
10-11,199.95,35761.06,vendido
10-12,199.95,35761.06,vendido
10-13,199.95,35761.06,vendido
10-14,199.95,35761.06,disponible
10-15,199.95,35761.06,disponible
10-16,199.95,35761.06,disponible
10-17,199.95,35761.06,disponible
10-18,199.95,35761.06,disponible
10-19,199.95,35761.06,disponible
10-20,199.95,35761.06,disponible
10-21,199.95,35761.06,reservado
10-22,199.95,35761.06,reservado
18-1,260.57,46602.94,disponible
18-2,250,44712.5,disponible
18-3,250,44712.5,disponible
18-4,250,44712.5,disponible
18-5,250,44712.5,disponible
18-6,250,44712.5,reservado
18-7,304.14,54395.44,reservado
28-1,208.07,37213.32,vendido
28-2,200,35770,vendido
28-3,200,35770,vendido
28-4,200,35770,vendido
28-5,200,35770,vendido
28-6,200,35770,vendido
28-7,200,35770,vendido
28-8,200,35770,disponible
28-9,200,35770,disponible
28-10,200,35770,disponible
28-11,200,35770,disponible
28-12,200,35770,disponible
28-13,200,35770,disponible
28-14,208.07,37213.32,disponible
28-15,208.07,37213.32,vendido
28-16,200,35770,disponible
28-17,200,35770,vendido
28-18,200,35770,vendido
28-19,200,35770,vendido
28-20,200,35770,disponible
28-21,200,35770,disponible
28-22,200,35770,disponible
28-23,200,35770,disponible
28-24,200,35770,disponible
28-25,200,35770,disponible
28-26,200,35770,disponible
28-27,200,35770,disponible
28-28,208.07,37213.32,disponible
33-1,214.14,38298.94,disponible
33-2,199.95,35761.06,disponible
33-3,199.95,35761.06,disponible
33-4,199.95,35761.06,disponible
33-5,199.95,35761.06,disponible
33-6,199.95,35761.06,disponible
33-7,199.95,35761.06,disponible
33-8,199.95,35761.06,disponible
33-9,199.95,35761.06,disponible
33-10,199.95,35761.06,disponible
33-11,199.95,35761.06,disponible
33-12,199.95,35761.06,disponible
33-13,199.95,35761.06,disponible
33-14,199.95,35761.06,reservado
33-15,214.14,38298.94,reservado
33-16,214.14,38298.94,disponible
33-17,199.95,35761.06,disponible
33-18,199.95,35761.06,disponible
33-19,199.95,35761.06,disponible
33-20,199.95,35761.06,disponible
33-21,199.95,35761.06,disponible
