poligono,lote,area,precio,notas
E,8,341.79,84697.55,
E,9,200.00,49561.48,
E,10,200.00,49561.48,
K,6,200.00,44068.64,
K,8,200.00,44068.64,
K,11,200.00,44068.64,
K,12,200.00,44068.64,
K,14,200.00,44068.64,
K,16,200.00,44068.64,
K,18,200.00,44068.64,
K,20,200.00,44068.64,
K,21,200.00,44068.64,
K,22,200.00,44068.64,
K,23,192.20,47628.63,
K,24,208.30,51619.04,
K,25,216.25,53588.26,
L,6,200.00,44068.64,
L,8,200.00,44068.64,
L,10,200.00,44068.64,
L,11,200.00,44068.64,
L,12,200.00,44068.64,
L,13,200.00,44068.64,
L,14,200.00,44068.64,
L,15,200.00,44068.64,
L,16,200.00,44068.64,
L,17,200.00,44068.64,
L,19,200.00,44068.64,
L,20,200.00,44068.64,
L,25,257.02,38909.99,
O,7,200.00,49561.48,
O,8,200.00,49561.48,
O,14,200.00,49561.48,
O,20,200.00,49561.48,
O,22,200.00,49561.48,
O,23,200.00,49561.48,
P,1,311.57,77208.60,
P,2,304.00,75332.90,
P,3,304.00,75332.90,
P,4,303.10,75111.21,
P,5,295.02,73107.34,
P,6,656.05,162574.68,
P,7,460.75,114177.07,
P,8,310.65,76981.71,
P,9,619.37,153483.68,
P,10,559.03,138531.75,
