poligono,lote,area,precio,notas
A,4,211.69,41647.38,302.89 v2 - tarifa UCOES
A,5,213.12,41927.88,304.93 v2 - tarifa UCOES
A,6,201.45,39631.63,288.23 v2 - tarifa UCOES
B,4,200.00,39347.00,286.16 v2 - tarifa UCOES
B,5,194.64,38292.38,278.49 v2 - tarifa UCOES
B,6,200.00,39347.00,286.16 v2 - tarifa UCOES
B,8,200.00,39347.00,286.16 v2 - tarifa UCOES
B,11,256.48,50458.38,366.97 v2 - tarifa UCOES
C,1,207.14,40752.25,296.38 v2 - tarifa UCOES
C,2,206.25,40576.25,295.10 v2 - tarifa UCOES
C,3,206.25,40576.25,295.10 v2 - tarifa UCOES
C,4,354.66,69774.38,507.45 v2 - tarifa UCOES
C,5,203.05,39946.50,290.52 v2 - tarifa UCOES
C,6,203.05,39946.50,290.52 v2 - tarifa UCOES
C,7,203.05,39946.50,290.52 v2 - tarifa UCOES
C,8,227.39,44735.63,325.35 v2 - tarifa UCOES
C,9,201.88,39716.88,288.85 v2 - tarifa UCOES
C,10,201.87,39715.50,288.84 v2 - tarifa UCOES
C,11,201.88,39716.88,288.85 v2 - tarifa UCOES
C,12,201.87,39715.50,288.84 v2 - tarifa UCOES
C,13,201.77,39694.88,288.69 v2 - tarifa UCOES
C,14,201.77,39694.88,288.69 v2 - tarifa UCOES
C,15,264.85,52105.63,378.95 v2 - tarifa UCOES
C,16,206.45,40616.13,295.39 v2 - tarifa UCOES
D,8,200.00,39347.00,286.16 v2 - tarifa UCOES
D,10,200.00,39347.00,286.16 v2 - tarifa UCOES
D,11,200.00,39347.00,286.16 v2 - tarifa UCOES
D,12,200.00,39347.00,286.16 v2 - tarifa UCOES
D,13,200.00,39347.00,286.16 v2 - tarifa UCOES
D,14,200.00,39347.00,286.16 v2 - tarifa UCOES
D,15,197.74,38902.88,282.93 v2 - tarifa UCOES
D,16,204.62,40255.88,292.77 v2 - tarifa UCOES
E,5,200.00,39347.00,286.16 v2 - tarifa NORMAL
E,6,200.00,39347.00,286.16 v2 - tarifa NORMAL
E,7,200.00,39347.00,286.16 v2 - tarifa NORMAL
E,8,200.00,39347.00,286.16 v2 - tarifa NORMAL
E,9,200.00,39347.00,286.16 v2 - tarifa NORMAL
E,10,200.00,39347.00,286.16 v2 - tarifa NORMAL
E,11,200.00,39347.00,286.16 v2 - tarifa NORMAL
E,12,200.00,39347.00,286.16 v2 - tarifa NORMAL
E,13,200.00,39347.00,286.16 v2 - tarifa NORMAL
E,14,237.73,46769.25,340.14 v2 - tarifa NORMAL
E,15,235.26,46283.88,336.61 v2 - tarifa NORMAL
F,3,210.00,41314.63,300.47 v2 - tarifa UCOES
F,4,204.64,40260.00,292.80 v2 - tarifa UCOES
F,5,200.00,39347.00,286.16 v2 - tarifa UCOES
F,6,200.00,39347.00,286.16 v2 - tarifa UCOES
F,7,200.00,39347.00,286.16 v2 - tarifa UCOES
F,8,200.00,39347.00,286.16 v2 - tarifa UCOES
F,10,200.00,39347.00,286.16 v2 - tarifa UCOES
F,11,200.00,39347.00,286.16 v2 - tarifa UCOES
F,12,200.00,39347.00,286.16 v2 - tarifa UCOES
F,14,200.00,39347.00,286.16 v2 - tarifa UCOES
F,16,247.74,48739.63,354.47 v2 - tarifa UCOES
G,1,240.00,47216.13,343.39 v2 - tarifa NORMAL
G,2,240.00,47216.13,343.39 v2 - tarifa NORMAL
G,6,383.98,75542.50,549.40 v2 - tarifa NORMAL
G,13,240.00,47216.13,343.39 v2 - tarifa NORMAL
H,1,200.64,39473.50,287.08 v2 - tarifa UCOES
H,2,200.00,39347.00,286.16 v2 - tarifa UCOES
